label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C157,1.05,0.7,1.3,1.4,0.01,12,0.5157894736842106,0.5181818181818182,0.03636363636363636,0.0,0.07368421052631578,0.4842105263157895,426.0315789473684,-0.2813397129186602,lt=1.050 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.010 | adj=12
C184,1.05,0.85,1.3,1.4,0.02,16,0.5157894736842106,0.5181818181818182,0.0,0.0,0.07368421052631578,0.4842105263157895,395.7736842105263,-0.2813397129186602,lt=1.050 | br=0.850 | cc=1.300 | mb=1.400 | dec=0.020 | adj=16
C236,1.1,0.7,1.4,1.2,0.02,16,0.5,0.49074074074074076,0.027777777777777776,0.018518518518518517,0.08421052631578947,0.5,435.2263157894737,-0.2828460038986355,lt=1.100 | br=0.700 | cc=1.400 | mb=1.200 | dec=0.020 | adj=16
C166,1.05,0.7,1.4,1.4,0.01,16,0.5210526315789473,0.5363636363636364,0.00909090909090909,0.0,0.06315789473684211,0.4789473684210526,379.64736842105265,-0.28636363636363643,lt=1.050 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C261,1.1,0.85,1.4,1.4,0.01,12,0.5105263157894737,0.5185185185185185,0.0,0.0,0.07368421052631578,0.48947368421052634,411.68947368421055,-0.2895711500974658,lt=1.100 | br=0.850 | cc=1.400 | mb=1.400 | dec=0.010 | adj=12
C241,1.1,0.85,1.2,1.2,0.01,12,0.5157894736842106,0.5405405405405406,0.018018018018018018,0.009009009009009009,0.05263157894736842,0.4789473684210526,300.11578947368423,-0.2905405405405405,lt=1.100 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C272,1.1,1.0,1.2,1.4,0.02,16,0.5052631578947369,0.5092592592592593,0.0,0.0,0.07894736842105263,0.49473684210526314,411.5578947368421,-0.29083820662768034,lt=1.100 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.020 | adj=16
C251,1.1,0.85,1.3,1.2,0.02,12,0.5210526315789473,0.5454545454545454,0.0,0.0,0.05789473684210526,0.4789473684210526,303.40526315789475,-0.29282296650717704,lt=1.100 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.020 | adj=12
C190,1.05,0.85,1.4,1.4,0.01,16,0.5210526315789473,0.5454545454545454,0.02727272727272727,0.0,0.06315789473684211,0.4789473684210526,360.0684210526316,-0.29545454545454547,lt=1.050 | br=0.850 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C274,1.1,1.0,1.3,1.2,0.01,16,0.5105263157894737,0.5229357798165137,0.009174311926605505,0.0,0.07894736842105263,0.48947368421052634,423.9947368421053,-0.2966199903428295,lt=1.100 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.010 | adj=16
C202,1.05,1.0,1.3,1.2,0.01,16,0.5105263157894737,0.5277777777777778,0.0,0.0,0.07368421052631578,0.48947368421052634,424.6842105263158,-0.2988304093567251,lt=1.050 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.010 | adj=16
C172,1.05,0.85,1.2,1.2,0.02,16,0.5052631578947369,0.5185185185185185,0.018518518518518517,0.009259259259259259,0.08421052631578947,0.48947368421052634,468.4789473684211,-0.30009746588693953,lt=1.050 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.020 | adj=16
C285,1.1,1.0,1.4,1.4,0.01,12,0.5157894736842106,0.5412844036697247,0.01834862385321101,0.009174311926605505,0.06842105263157895,0.4842105263157895,360.62105263157895,-0.3018107194591984,lt=1.100 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.010 | adj=12
C197,1.05,1.0,1.2,1.4,0.01,12,0.5105263157894737,0.5277777777777778,0.018518518518518517,0.0,0.08421052631578947,0.48947368421052634,458.8421052631579,-0.30409356725146197,lt=1.050 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.010 | adj=12
C186,1.05,0.85,1.4,1.2,0.01,16,0.5105263157894737,0.5327102803738317,0.0,0.0,0.07894736842105263,0.48947368421052634,434.4842105263158,-0.3063944909001475,lt=1.050 | br=0.850 | cc=1.400 | mb=1.200 | dec=0.010 | adj=16
C233,1.1,0.7,1.4,1.2,0.01,12,0.5157894736842106,0.5412844036697247,0.009174311926605505,0.0,0.07894736842105263,0.4842105263157895,420.14736842105265,-0.3070738773539352,lt=1.100 | br=0.700 | cc=1.400 | mb=1.200 | dec=0.010 | adj=12
C246,1.1,0.85,1.2,1.4,0.01,16,0.5157894736842106,0.5504587155963303,0.009174311926605505,0.0,0.06315789473684211,0.4842105263157895,336.69473684210527,-0.30835345243843554,lt=1.100 | br=0.850 | cc=1.200 | mb=1.400 | dec=0.010 | adj=16
C269,1.1,1.0,1.2,1.4,0.01,12,0.5,0.5233644859813084,0.028037383177570093,0.009345794392523364,0.07894736842105263,0.49473684210526314,408.7684210526316,-0.31020659124446626,lt=1.100 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.010 | adj=12
C177,1.05,0.85,1.3,1.2,0.01,12,0.5263157894736842,0.5714285714285714,0.026785714285714284,0.0,0.06315789473684211,0.46842105263157896,363.44736842105266,-0.31090225563909774,lt=1.050 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.010 | adj=12
C255,1.1,0.85,1.3,1.4,0.02,12,0.5157894736842106,0.5504587155963303,0.01834862385321101,0.0,0.06842105263157895,0.4842105263157895,378.8421052631579,-0.3109850313858039,lt=1.100 | br=0.850 | cc=1.300 | mb=1.400 | dec=0.020 | adj=12
C152,1.05,0.7,1.2,1.4,0.02,16,0.5105263157894737,0.5412844036697247,0.0,0.0,0.07894736842105263,0.48947368421052634,463.7368421052632,-0.3149686141960405,lt=1.050 | br=0.700 | cc=1.200 | mb=1.400 | dec=0.020 | adj=16
