label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
C97,1.0,0.85,1.2,1.2,0.01,12,190,7,0.5210526315789473,0.4789473684210526,0.3526315789473684,0.4636363636363636,0.00909090909090909,0.0
C98,1.0,0.85,1.2,1.2,0.01,16,190,7,0.5,0.5,0.34210526315789475,0.5794392523364486,0.018691588785046728,0.0
C99,1.0,0.85,1.2,1.2,0.02,12,190,7,0.5052631578947369,0.49473684210526314,0.3631578947368421,0.5555555555555556,0.037037037037037035,0.0
C100,1.0,0.85,1.2,1.2,0.02,16,190,7,0.531578947368421,0.46842105263157896,0.3631578947368421,0.5,0.026785714285714284,0.0
C101,1.0,0.85,1.2,1.4,0.01,12,190,7,0.5210526315789473,0.4789473684210526,0.35789473684210527,0.4594594594594595,0.009009009009009009,0.0
C102,1.0,0.85,1.2,1.4,0.01,16,190,7,0.5263157894736842,0.47368421052631576,0.32105263157894737,0.4864864864864865,0.009009009009009009,0.0
C103,1.0,0.85,1.2,1.4,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.3368421052631579,0.5370370370370371,0.027777777777777776,0.0
C104,1.0,0.85,1.2,1.4,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.3526315789473684,0.5636363636363636,0.02727272727272727,0.0
C105,1.0,0.85,1.3,1.2,0.01,12,190,7,0.5210526315789473,0.4789473684210526,0.3368421052631579,0.509090909090909,0.00909090909090909,0.0
C106,1.0,0.85,1.3,1.2,0.01,16,190,7,0.5157894736842106,0.4842105263157895,0.35789473684210527,0.5596330275229358,0.009174311926605505,0.0
C107,1.0,0.85,1.3,1.2,0.02,12,190,7,0.5052631578947369,0.48947368421052634,0.35789473684210527,0.5229357798165137,0.01834862385321101,0.009174311926605505
C108,1.0,0.85,1.3,1.2,0.02,16,190,7,0.5157894736842106,0.47368421052631576,0.3473684210526316,0.4909090909090909,0.03636363636363636,0.01818181818181818
C109,1.0,0.85,1.3,1.4,0.01,12,190,7,0.5105263157894737,0.48947368421052634,0.3263157894736842,0.5833333333333334,0.009259259259259259,0.0
C110,1.0,0.85,1.3,1.4,0.01,16,190,7,0.5105263157894737,0.4842105263157895,0.3473684210526316,0.5412844036697247,0.009174311926605505,0.009174311926605505
C111,1.0,0.85,1.3,1.4,0.02,12,190,7,0.5052631578947369,0.49473684210526314,0.34210526315789475,0.5233644859813084,0.04672897196261682,0.0
C112,1.0,0.85,1.3,1.4,0.02,16,190,7,0.48947368421052634,0.5052631578947369,0.3631578947368421,0.6095238095238096,0.01904761904761905,0.01904761904761905
C113,1.0,0.85,1.4,1.2,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.3631578947368421,0.5740740740740741,0.018518518518518517,0.0
C114,1.0,0.85,1.4,1.2,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.34210526315789475,0.5636363636363636,0.0,0.0
C115,1.0,0.85,1.4,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.3473684210526316,0.4636363636363636,0.05454545454545454,0.00909090909090909
C116,1.0,0.85,1.4,1.2,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.34210526315789475,0.4818181818181818,0.0,0.0
C117,1.0,0.85,1.4,1.4,0.01,12,190,7,0.48947368421052634,0.5052631578947369,0.35789473684210527,0.5754716981132075,0.018867924528301886,0.018867924528301886
C118,1.0,0.85,1.4,1.4,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.3631578947368421,0.4818181818181818,0.01818181818181818,0.0
C119,1.0,0.85,1.4,1.4,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.35789473684210527,0.5688073394495413,0.045871559633027525,0.0
C120,1.0,0.85,1.4,1.4,0.02,16,190,7,0.5,0.49473684210526314,0.32105263157894737,0.5185185185185185,0.018518518518518517,0.018518518518518517
C121,1.0,1.0,1.2,1.2,0.01,12,190,7,0.49473684210526314,0.49473684210526314,0.3526315789473684,0.5887850467289719,0.028037383177570093,0.018691588785046728
